measure,chord,note
1,A:maj,A
1,A:maj,A
1,A:maj,A
1,A:maj,A
1,A:maj,A
1,A:maj,G#
2,D:maj,G#
2,D:maj,F
2,D:maj,D
2,D:maj,D
2,D:maj,B
3,E:maj,G#
3,E:maj,F#
3,E:maj,E
3,E:maj,F#
3,E:maj,D
3,E:maj,E
4,A:maj,C#
4,A:maj,C#
4,A:maj,C#
4,A:maj,B
5,A:maj,A
5,A:maj,A
5,A:maj,A
5,A:maj,A
5,A:maj,A
5,A:maj,G#
6,D:maj,G#
6,D:maj,F#
6,D:maj,F#
6,D:maj,G#
6,D:maj,A
7,A:maj,E
7,A:maj,C#
8,E:maj,D
8,E:maj,D
8,E:maj,C#
8,E:maj,B
9,A:maj,A
9,A:maj,E
9,A:maj,E
9,A:maj,E
10,E:maj,B
10,E:maj,B
10,E:maj,E
10,E:maj,A
10,E:maj,B
11,A:maj,C#
11,A:maj,C#
11,A:maj,A
11,A:maj,A
11,A:maj,A
12,F#:min,A
12,F#:min,A
13,B:maj,A
13,B:maj,C#
13,B:maj,B
13,B:maj,A
14,E:maj,B
14,E:maj,C#
14,E:maj,C#
14,E:maj,B
15,A:maj,A
15,A:maj,A
15,A:maj,A
15,A:maj,A
16,C#:maj,C#
16,C#:maj,B
17,D:maj,A
17,D:maj,F#
17,D:maj,F#
17,D:maj,G#
17,D:maj,A
18,A:maj,C#
18,A:maj,C#
19,E:maj,D
19,E:maj,D
19,E:maj,C#
19,E:maj,B
20,A:maj,A
