measure,chord,note
1,F:maj,F
1,F:maj,F
1,F:maj,F
2,A#:maj,F
2,A#:maj,C
2,A#:maj,C
2,A#:maj,A
2,A#:maj,A
3,C:maj,A
3,C:maj,C
3,C:maj,C
4,F:maj,C
4,F:maj,F
4,F:maj,F
4,F:maj,F
5,A#:maj,F
5,A#:maj,F
5,A#:maj,A
5,A#:maj,A
6,C:maj,A
6,C:maj,G
6,C:maj,G
7,F:maj,F
7,F:maj,C
7,F:maj,C
7,F:maj,C
8,A#:maj,C
8,A#:maj,F
8,A#:maj,F
8,A#:maj,F
8,A#:maj,G
8,A#:maj,G
9,C:maj,C
9,C:maj,G
10,D:min,G
10,D:min,G
10,D:min,A
10,D:min,A#
10,D:min,A
10,D:min,G
10,D:min,F
11,F:maj,F
11,F:maj,F
11,F:maj,C
11,F:maj,C
12,A#:maj,F
12,A#:maj,F
12,A#:maj,F
12,A#:maj,D
12,A#:maj,C
12,A#:maj,C
13,C:maj,C
14,C:maj,A
14,C:maj,A
14,C:maj,C
14,C:maj,C
15,A#:maj,F
15,A#:maj,D
16,D:min,C
16,D:min,C
16,D:min,C
16,D:min,C
16,D:min,A
16,D:min,A
17,C:maj,G
17,C:maj,G
17,C:maj,A
17,C:maj,A
17,C:maj,C
17,C:maj,C
18,A#:maj,F
18,A#:maj,D
19,D:min,C
19,D:min,C
19,D:min,C
19,D:min,C
19,D:min,A
19,D:min,A
20,C:maj,G
20,C:maj,G
20,C:maj,F
20,C:maj,F
20,C:maj,E
20,C:maj,C
21,F:maj,C
21,F:maj,A
21,F:maj,D
22,A#:maj,F
22,A#:maj,F
22,A#:maj,D
23,D:min,C
23,D:min,C
23,D:min,C
23,D:min,A
23,D:min,A
23,D:min,A
24,C:maj,G
24,C:maj,G
24,C:maj,G
24,C:maj,C
