measure,chord,note
1,D:maj,A
2,A:maj,G
2,A:maj,F#
2,A:maj,E
2,A:maj,E
2,A:maj,G
2,A:maj,F#
3,B:min,F#
4,F#:min,A
4,F#:min,E
4,F#:min,D
4,F#:min,C#
4,F#:min,C#
4,F#:min,E
4,F#:min,D
5,G:maj,D
6,D:maj,D
6,D:maj,E
6,D:maj,F#
6,D:maj,F#
6,D:maj,G
6,D:maj,E
7,E:min,E
8,D:maj,A
9,A:maj,G
9,A:maj,F#
9,A:maj,E
9,A:maj,E
9,A:maj,G
9,A:maj,F#
10,B:min,F#
11,F#:min,A
11,F#:min,E
11,F#:min,D
11,F#:min,C#
11,F#:min,C#
11,F#:min,E
11,F#:min,D
12,G:maj,D
13,D:maj,D
13,D:maj,D
13,D:maj,E
13,D:maj,F#
13,D:maj,F#
13,D:maj,G
13,D:maj,E
14,E:min,E
15,E:min,G
15,E:min,G
15,E:min,G
15,E:min,G
15,E:min,F#
15,E:min,E
15,E:min,D
16,A:maj,E
16,A:maj,E
16,A:maj,E
17,A:maj,F#
17,A:maj,G
18,F#:min,A
18,F#:min,A
18,F#:min,A
18,F#:min,A
18,F#:min,A
18,F#:min,G
18,F#:min,G
18,F#:min,F#
19,B:maj,E
20,B:maj,D#
21,E:min,G
21,E:min,G
21,E:min,F#
21,E:min,G
21,E:min,G
21,E:min,F#
21,E:min,E
21,E:min,D
22,A:maj,D
22,A:maj,E
22,A:maj,F#
22,A:maj,E
23,A:maj,E
23,A:maj,F#
23,A:maj,G
24,F#:min,A
24,F#:min,A
24,F#:min,F#
24,F#:min,A
24,F#:min,A
24,F#:min,A
24,F#:min,F#
24,F#:min,A
25,B:maj,A
26,B:maj,B
27,Emaj,E
27,E:maj,F#
27,E:maj,G
27,E:maj,B
27,E:maj,B
28,C#:min,E
28,C#:min,F#
28,C#:min,G
28,C#:min,B
28,C#:min,B
28,C#:min,B
29,A:maj,C#
29,A:maj,B
29,A:maj,B
29,A:maj,B
29,A:maj,B
30,C#:min,G
30,C#:min,A
30,C#:min,G
30,C#:min,F#
31,B:maj,F#
32,E:maj,E
32,E:maj,F#
32,E:maj,G
32,E:maj,B
32,E:maj,B
33,C#:min,E
33,C#:min,F#
33,C#:min,G
33,C#:min,B
33,C#:min,B
34,A:maj,C#
34,A:maj,B
34,A:maj,B
34,A:maj,B
34,A:maj,B
35,C#:min,G
35,C#:min,A
35,C#:min,G
35,C#:min,F#
36,B:maj,F#
37,C#:min,G
37,C#:min,A
37,C#:min,G
37,C#:min,F#
38,B:maj,F#
38,B:maj,E
38,B:maj,D
39,A:maj,D
39,A:maj,E
39,A:maj,E
