measure,chord,note
1,G:maj,D
1,G:maj,D
1,G:maj,D
1,G:maj,D
1,G:maj,D
1,G:maj,D
1,G:maj,G
1,G:maj,G
1,G:maj,G
1,G:maj,D
1,G:maj,D
2,C:maj,D
2,C:maj,E
2,C:maj,E
2,C:maj,E
2,C:maj,D
3,A:min,E
3,A:min,E
3,A:min,E
3,A:min,E
3,A:min,G
3,A:min,F#
4,D:maj,F#
4,D:maj,G
4,D:maj,F#
4,D:maj,E
4,D:maj,D
4,D:maj,E
5,G:maj,D
5,G:maj,D
6,G:maj,D
6,G:maj,D
6,G:maj,D
6,G:maj,D
6,G:maj,D
6,G:maj,B
6,G:maj,B
6,G:maj,C
6,G:maj,B
6,G:maj,B
6,G:maj,A
6,G:maj,A
7,C:maj,A
7,C:maj,G
7,C:maj,G
7,C:maj,G
7,C:maj,D
8,A:min,E
8,A:min,E
8,A:min,E
8,A:min,E
8,A:min,E
8,A:min,C
9,D:maj,C
9,D:maj,C
9,D:maj,B
9,D:maj,A
9,D:maj,G
10,G:maj,A
10,G:maj,G
10,G:maj,G
11,D:maj,G
11,D:maj,A
12,G:maj,B
12,G:maj,B
12,G:maj,A
12,G:maj,G
13,D:maj,A
13,D:maj,A
14,C:maj,G
14,C:maj,G
14,C:maj,E
15,G:maj,D
15,G:maj,D
16,C:maj,E
16,C:maj,G
16,C:maj,G
16,C:maj,G
16,C:maj,G
17,A:min,G
17,A:min,G
17,A:min,B
17,A:min,A
17,A:min,A
18,D:maj,A
18,D:maj,G
18,D:maj,A
19,G:maj,B
19,G:maj,B
19,G:maj,A
19,G:maj,G
20,D:maj,A
20,D:maj,A
21,C:maj,G
22,D:maj,A
23,E:min,B
23,E:min,A
23,E:min,G
23,E:min,G
24,A:min,C
24,A:min,C
24,A:min,C
24,A:min,C
24,A:min,B
24,A:min,A
25,D:maj,A
25,D:maj,A
25,D:maj,B
25,D:maj,A
25,D:maj,A
26,G:maj,G
