measure,chord,note
1,F:maj,C
1,F:maj,C
1,F:maj,A
1,F:maj,A
1,F:maj,A
1,F:maj,G
1,F:maj,G
1,F:maj,G
1,F:maj,F
1,F:maj,F
2,G:min,C
2,G:min,C
2,G:min,A
2,G:min,A
2,G:min,A
2,G:min,G
2,G:min,G
2,G:min,G
2,G:min,F
2,G:min,F
3,A#:maj,C
3,A#:maj,C
3,A#:maj,A
3,A#:maj,A
3,A#:maj,A
3,A#:maj,G
3,A#:maj,G
3,A#:maj,F
4,C:maj,G
4,C:maj,G
4,C:maj,G
4,C:maj,F
5,G:min,A
5,G:min,G
5,G:min,G
5,G:min,G
5,G:min,F
5,G:min,F
6,F:maj,C
6,F:maj,C
6,F:maj,A
6,F:maj,A
6,F:maj,A
6,F:maj,G
6,F:maj,G
6,F:maj,G
6,F:maj,F
6,F:maj,F
7,G:min,C
7,G:min,C
7,G:min,A
7,G:min,A
7,G:min,A
7,G:min,G
7,G:min,G
7,G:min,G
7,G:min,F
7,G:min,F
8,A#:maj,C
8,A#:maj,C
8,A#:maj,C
8,A#:maj,C
8,A#:maj,C
8,A#:maj,C
8,A#:maj,A
9,C:maj,D
9,C:maj,C
9,C:maj,C
9,C:maj,C
10,G:min,A
10,G:min,G
10,G:min,F
11,F:maj,F
11,F:maj,F
11,F:maj,F
11,F:maj,G
11,F:maj,A
11,F:maj,C
12,G:min,C
12,G:min,F
12,G:min,F
12,G:min,G
12,G:min,G
12,G:min,A
12,G:min,A
13,A#:maj,F
13,A#:maj,F
13,A#:maj,F
13,A#:maj,G
13,A#:maj,A
13,A#:maj,C
14,C:maj,C
14,C:maj,A
14,C:maj,A
14,C:maj,A
15,G:min,A
15,G:min,G
15,G:min,F
16,D:min,F
16,D:min,F
16,D:min,F
16,D:min,G
16,D:min,A
16,D:min,C
17,G:min,C
17,G:min,F
17,G:min,F
17,G:min,G
17,G:min,G
17,G:min,A
17,G:min,A
18,A#:maj,F
18,A#:maj,F
18,A#:maj,G
18,A#:maj,A
18,A#:maj,C
19,C:maj,C
19,C:maj,A
19,C:maj,A
19,C:maj,A
20,G:min,A
20,G:min,G
20,G:min,F
21,G:min,A#
21,G:min,A
21,G:min,G
21,G:min,G
21,G:min,F
21,G:min,D
22,F:maj,D
22,F:maj,F
22,F:maj,F
23,A#:maj,F
23,A#:maj,D
23,A#:maj,C
23,A#:maj,C
23,A#:maj,C
23,A#:maj,C
23,A#:maj,A
24,C:maj,A
24,C:maj,G
24,C:maj,G
25,G:min,D
25,G:min,A#
25,G:min,A
25,G:min,G
25,G:min,G
25,G:min,F
26,F:maj,D
26,F:maj,F
26,F:maj,F
26,F:maj,F
26,F:maj,F
26,F:maj,F
26,F:maj,D
27,A#:maj,D
27,A#:maj,C
27,A#:maj,C
27,A#:maj,C
27,A#:maj,C
27,A#:maj,C
27,A#:maj,A
27,A#:maj,D
28,C:maj,D
28,C:maj,C
28,C:maj,C
28,C:maj,C
28,C:maj,C
