measure,chord,note
1,G:maj,G
1,G:maj,G
1,G:maj,G
1,G:maj,G
1,G:maj,G
2,C:maj,G
2,C:maj,G
2,C:maj,G
2,C:maj,G
3,D:maj,G
3,D:maj,G
3,D:maj,G
3,D:maj,G
4,C:maj,G
4,C:maj,G
4,C:maj,C
4,C:maj,B
5,G:maj,G
5,G:maj,G
5,G:maj,G
5,G:maj,G
6,C:maj,G
6,C:maj,G
6,C:maj,E
6,C:maj,D
7,D:maj,D
8,G:maj,G
8,G:maj,G
8,G:maj,G
8,G:maj,G
8,G:maj,G
9,C:maj,G
9,C:maj,G
9,C:maj,G
9,C:maj,G
10,D:maj,E
10,D:maj,D
10,D:maj,G
10,D:maj,G
10,D:maj,G
11,C:maj,G
11,C:maj,G
11,C:maj,C
11,C:maj,B
12,G:maj,G
12,G:maj,G
12,G:maj,G
12,G:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,G
13,C:maj,A
14,D:maj,A
15,G:maj,B
15,G:maj,B
15,G:maj,B
16,C:maj,B
16,C:maj,A
16,C:maj,A
16,C:maj,A
17,D:maj,A
17,D:maj,A
17,D:maj,A
17,D:maj,A
17,D:maj,B
18,C:maj,A
18,C:maj,G
18,C:maj,G
18,C:maj,G
19,G:maj,G
19,G:maj,B
20,A:min,G
20,A:min,B
21,B:min,A
21,B:min,B
22,C:maj,A
23,D:maj,G
24,G:maj,G
24,G:maj,B
25,A:min,G
25,A:min,B
25,A:min,A
26,B:min,A
26,B:min,B
27,C:maj,C
28,D:maj,D
29,G:maj,D
