measure,chord,note
1,G:maj,G
1,G:maj,G
1,G:maj,A
1,G:maj,A
2,D:maj,A
2,D:maj,G
2,D:maj,G
2,D:maj,A
3,E:min,B
3,E:min,A
3,E:min,G
3,E:min,G
4,E:min,G
4,E:min,G
5,C:maj,C
6,B:maj,B
7,A:min,A
7,A:min,G
7,A:min,G
8,D:maj,G
8,D:maj,A
8,D:maj,A
8,D:maj,A
8,D:maj,D
8,D:maj,D
9,G:maj,G
9,G:maj,G
9,G:maj,A
9,G:maj,A
10,D:maj,A
10,D:maj,G
10,D:maj,G
10,D:maj,A
11,E:min,B
11,E:min,A
11,E:min,G
11,E:min,G
12,E:min,G
12,E:min,G
13,C:maj,C
13,C:maj,B
14,D:maj,A
14,D:maj,G
14,D:maj,G
15,G:maj,G
16,D:maj,D
16,D:maj,D
17,G:maj,G
18,D:maj,G
18,D:maj,D
19,G:maj,D
19,G:maj,A
19,G:maj,B
20,D:maj,C
20,D:maj,B
20,D:maj,A
20,D:maj,G
21,E:min,G
21,E:min,A
21,E:min,B
22,C:maj,C
22,C:maj,B
22,C:maj,A
22,C:maj,G
23,G:maj,G
23,G:maj,A
23,G:maj,B
24,A:min,C
24,A:min,B
24,A:min,G
24,A:min,A
25,D:maj,A
25,D:maj,G
25,D:maj,D
26,G:maj,D
26,G:maj,A
26,G:maj,B
27,D:maj,C
27,D:maj,B
27,D:maj,A
27,D:maj,G
28,E:min,G
28,E:min,G
29,C:maj,C
29,C:maj,B
29,C:maj,A
29,C:maj,G
30,D:maj,G
30,D:maj,F#
30,D:maj,G
31,G:maj,G
