measure,chord,note
1,G:maj,A
1,G:maj,B
1,G:maj,B
1,G:maj,B
2,G:maj,A
2,G:maj,B
2,G:maj,C
2,G:maj,B
2,G:maj,A
2,G:maj,G
3,B:min,A
3,B:min,B
3,B:min,B
3,B:min,B
4,E:min,B
4,E:min,B
4,E:min,C
4,E:min,B
4,E:min,A
4,E:min,A
5,C:maj,A
5,C:maj,G
5,C:maj,G
6,A:min,G
6,A:min,E
6,A:min,E
6,A:min,B
6,A:min,C
6,A:min,A
7,D:min,A
8,D:maj,A
8,D:maj,D
8,D:maj,G
8,D:maj,A
9,G:maj,A
9,G:maj,B
9,G:maj,B
9,G:maj,B
10,G:maj,A
10,G:maj,B
10,G:maj,C
10,G:maj,B
10,G:maj,A
10,G:maj,G
11,B:min,A
11,B:min,B
11,B:min,B
11,B:min,B
12,E:min,B
12,E:min,B
12,E:min,B
12,E:min,A
12,E:min,G
13,A:min,B
13,A:min,C
13,A:min,A
13,A:min,A
14,D:maj,A
14,D:maj,A
14,D:maj,A
14,D:maj,A
14,D:maj,G
14,D:maj,F#
15,G:maj,G
16,G:maj,G
16,G:maj,A
16,G:maj,B
17,C:maj,B
17,C:maj,C
17,C:maj,C
17,C:maj,C
18,A:min,B
18,A:min,C
18,A:min,C
18,A:min,C
19,G:maj,C
19,G:maj,B
19,G:maj,B
19,G:maj,B
19,G:maj,A
20,E:min,G
21,A:min,B
21,A:min,C
21,A:min,C
21,A:min,C
21,A:min,B
22,D:maj,A
22,D:maj,G
22,D:maj,A
22,D:maj,B
23,G:maj,B
24,D:maj,A
24,D:maj,G
24,D:maj,F#
24,D:maj,G
25,G:maj,G
