measure,chord,note
1,C:maj,E
1,C:maj,G
2,G:maj,G
2,G:maj,E
2,G:maj,D
3,A:min,C
3,A:min,D
4,C:maj,F
4,C:maj,E
4,C:maj,D
4,C:maj,C
5,F:maj,A
5,F:maj,A
6,G:maj,G
6,G:maj,F
7,G:maj,G
8,C:maj,E
8,C:maj,G
9,G:maj,G
9,G:maj,E
9,G:maj,D
10,A:min,C
10,A:min,D
11,F:maj,F
11,F:maj,E
11,F:maj,D
11,F:maj,C
12,D:min,C
12,D:min,E
13,G:maj,D
13,G:maj,C
14,C:maj,C
15,A:min,C
15,A:min,C
16,A:min,C
16,A:min,C
16,A:min,B
17,F:maj,A
17,F:maj,A
18,C:maj,G
18,C:maj,C
19,F:maj,A
19,F:maj,A
19,F:maj,A
20,F:maj,A
20,F:maj,G
21,D:min,F
21,D:min,F
22,E:maj,E
23,C:maj,E
23,C:maj,G
24,G:maj,G
24,G:maj,E
24,G:maj,D
25,A:min,C
25,A:min,D
26,C:maj,F
26,C:maj,E
26,C:maj,D
26,C:maj,C
27,F:maj,C
27,F:maj,E
28,G:maj,D
28,G:maj,C
29,C:maj,C
