measure,chord,note
1,G:maj,E
1,G:maj,D
1,G:maj,A
1,G:maj,A
1,G:maj,F#
2,D:maj,E
2,D:maj,F#
2,D:maj,A
2,D:maj,A
2,D:maj,F#
3,G:maj,E
3,G:maj,D
3,G:maj,F#
4,D:maj,F#
4,D:maj,A
4,D:maj,A
4,D:maj,F#
5,G:maj,E
5,G:maj,D
6,D:maj,A
7,C#:maj,E
8,B:min,D
8,B:min,D
8,B:min,E
8,B:min,F#
9,E:min,G
9,E:min,F#
10,F#:maj,E
10,F#:maj,D
11,G:maj,D
12,A:maj,C
13,D:maj,D
14,E:min,B
14,E:min,D
15,A:maj,F#
15,A:maj,G
15,A:maj,E
15,A:maj,E
15,A:maj,F#
15,A:maj,F#
16,D:maj,F#
17,E:min,B
17,E:min,D
18,A:maj,F#
18,A:maj,G
18,A:maj,E
18,A:maj,E
18,A:maj,D
18,A:maj,D
19,B:min,D
20,E:min,B
20,E:min,D
21,A:maj,F#
21,A:maj,G
21,A:maj,E
22,F#:maj,E
22,F#:maj,F#
22,F#:maj,F#
23,B:min,F#
24,F#:min,C
24,F#:min,F#
25,G:maj,F#
26,D:maj,B
27,E:min,B
27,E:min,D
28,A:maj,F#
28,A:maj,G
28,A:maj,E
28,A:maj,E
28,A:maj,D
28,A:maj,D
29,D:maj,D
29,D:maj,A
29,D:maj,A
29,D:maj,F#
30,G:maj,E
30,G:maj,D
30,G:maj,D
30,G:maj,D
30,G:maj,A
30,G:maj,A
30,G:maj,F#
31,D:maj,E
31,D:maj,D
31,D:maj,F#
31,D:maj,F#
31,D:maj,A
31,D:maj,A
31,D:maj,F#
32,E:min,E
32,E:min,D
33,G:maj,F#
33,G:maj,E
34,D:maj,F#
34,D:maj,A
34,D:maj,A
34,D:maj,F#
35,G:maj,E
35,G:maj,D
35,G:maj,D
35,G:maj,D
36,A:maj,A
36,A:maj,A
36,A:maj,A
36,A:maj,F#
37,F#:min,E
37,F#:min,D
37,F#:min,F#
37,F#:min,F#
38,B:min,A
38,B:min,A
38,B:min,F#
39,E:min,E
39,E:min,D
39,E:min,F#
39,E:min,G
40,A:maj,E
40,A:maj,D
41,D:maj,D
