measure,chord,note
1,G:maj,D
1,G:maj,G
1,G:maj,A
1,G:maj,A
1,G:maj,B
1,G:maj,B
1,G:maj,B
2,B:min,B
2,B:min,C
2,B:min,B
2,B:min,A
2,B:min,G
3,E:min,G
3,E:min,E
4,C:maj,E
4,C:maj,A
4,C:maj,B
4,C:maj,B
4,C:maj,C
4,C:maj,C
4,C:maj,B
4,C:maj,C
5,A:min,C
5,A:min,D
5,A:min,C
5,A:min,B
5,A:min,A
6,D:maj,A
6,D:maj,D
7,G:maj,D
7,G:maj,G
7,G:maj,A
7,G:maj,A
7,G:maj,B
7,G:maj,B
7,G:maj,B
8,B:min,B
8,B:min,C
8,B:min,B
8,B:min,A
8,B:min,G
9,E:min,G
9,E:min,G
9,E:min,F#
10,C:maj,E
10,C:maj,G
10,C:maj,A
11,D:maj,A
11,D:maj,G
11,D:maj,G
12,G:maj,G
12,G:maj,E
13,G:maj,G
14,D:maj,B
14,D:maj,C
15,G:maj,D
16,G:maj,G
16,G:maj,E
17,D:maj,D
17,D:maj,A
17,D:maj,A
17,D:maj,A
17,D:maj,B
17,D:maj,C
18,C:maj,C
19,D:maj,C
19,D:maj,B
19,D:maj,A
19,D:maj,A
19,D:maj,C
19,D:maj,C
19,D:maj,C
20,G:maj,B
20,G:maj,B
21,D:maj,B
21,D:maj,C
22,G:maj,D
22,G:maj,G
22,G:maj,E
23,D:maj,D
23,D:maj,A
23,D:maj,A
23,D:maj,A
23,D:maj,B
23,D:maj,C
24,C:maj,C
25,D:maj,C
25,D:maj,B
25,D:maj,A
25,D:maj,A
25,D:maj,G
25,D:maj,G
26,G:maj,G
