measure,chord,note
1,E:maj,G#
1,E:maj,A
1,E:maj,B
1,E:maj,F#
1,E:maj,E
2,E:maj,E
2,E:maj,B
2,E:maj,B
3,E:maj,G#
3,E:maj,A
3,E:maj,B
3,E:maj,B
3,E:maj,F#
3,E:maj,E
3,E:maj,G#
4,D:maj,G#
4,D:maj,G#
4,D:maj,A
5,A:maj,B
5,A:maj,B
5,A:maj,E
5,A:maj,E
5,A:maj,B
5,A:maj,B
6,G#:min,F#
6,G#:min,E
6,G#:min,D#
6,G#:min,D#
6,G#:min,B
6,G#:min,E
7,C#:min,E
8,F#:min,C#
8,F#:min,D#
8,F#:min,E
8,F#:min,E
9,A:maj,F#
9,A:maj,C#
9,A:maj,D#
10,E:maj,E
10,E:maj,B
10,E:maj,B
11,E:maj,G#
11,E:maj,A
11,E:maj,B
11,E:maj,B
12,A:maj,B
13,A:maj,B
13,A:maj,B
13,A:maj,G#
13,A:maj,A
13,A:maj,B
13,A:maj,B
14,G#:min,B
14,G#:min,B
14,G#:min,B
14,G#:min,G#
15,C#:maj,A
15,C#:maj,B
15,C#:maj,A
16,F#:min,A
16,F#:min,A
16,F#:min,G#
16,F#:min,A
17,A:maj,B
17,A:maj,F#
17,A:maj,G#
18,E:maj,G#
18,E:maj,B
18,E:maj,B
18,E:maj,G#
19,D:maj,A
19,D:maj,B
19,D:maj,B
20,A:maj,B
20,A:maj,B
20,A:maj,B
20,A:maj,G#
20,A:maj,A
20,A:maj,B
20,A:maj,B
21,G#:min,B
21,G#:min,B
21,G#:min,B
21,G#:min,G#
22,C#:min,A
22,C#:min,B
22,C#:min,A
23,F#:min,A
23,F#:min,G#
23,F#:min,E
24,A:maj,G#
24,A:maj,F#
24,A:maj,E
24,A:maj,E
25,E:maj,E
25,E:maj,E
25,E:maj,E
26,A:maj,C#
26,A:maj,C#
26,A:maj,C#
26,A:maj,C#
26,A:maj,C#
26,A:maj,C#
27,B:maj,C#
27,B:maj,F#
27,B:maj,G#
27,B:maj,G#
27,B:maj,A
28,G#:min,B
28,G#:min,B
28,G#:min,B
28,G#:min,B
28,G#:min,B
28,G#:min,B
29,C#:min,B
29,C#:min,E
29,C#:min,F#
29,C#:min,F#
29,C#:min,G#
29,C#:min,C#
30,F#:min,G#
30,F#:min,A
30,F#:min,A
30,F#:min,A
31,A:maj,G#
31,A:maj,F#
31,A:maj,F#
31,A:maj,B
31,A:maj,G#
32,E:maj,G#
33,E:maj,E
33,E:maj,E
34,A:maj,C#
34,A:maj,C#
34,A:maj,C#
34,A:maj,C#
34,A:maj,C#
34,A:maj,C#
35,B:maj,C#
35,B:maj,F#
35,B:maj,G#
35,B:maj,G#
35,B:maj,A
36,G#:min,B
36,G#:min,B
36,G#:min,B
36,G#:min,B
36,G#:min,B
36,G#:min,B
37,C#:min,B
37,C#:min,E
37,C#:min,F#
37,C#:min,F#
37,C#:min,G#
37,C#:min,C#
38,D:maj,G#
38,D:maj,A
38,D:maj,A
38,D:maj,A
38,D:maj,G#
38,D:maj,A
38,D:maj,A
38,D:maj,B
38,D:maj,B
39,B:maj,B
39,B:maj,B
39,B:maj,B
40,E:maj,G#
40,E:maj,A
40,E:maj,B
40,E:maj,B
