measure,chord,note
1,C:maj,G
1,C:maj,C
1,C:maj,B
1,C:maj,G
1,C:maj,G
2,F:maj,G
2,F:maj,A
2,F:maj,A
2,F:maj,E
2,F:maj,F
3,C:maj,G
3,C:maj,G
3,C:maj,F
3,C:maj,E
3,C:maj,D
4,G:maj,D
5,G:maj,C
5,G:maj,B
5,G:maj,G
5,G:maj,G
6,C:maj,G
6,C:maj,C
6,C:maj,B
6,C:maj,G
6,C:maj,A
7,F:maj,A
7,F:maj,E
7,F:maj,F
8,C:maj,G
8,C:maj,G
8,C:maj,F
8,C:maj,E
8,C:maj,D
9,G:maj,D
9,G:maj,C
9,G:maj,D
10,C:maj,F
10,C:maj,E
10,C:maj,D
10,C:maj,C
10,C:maj,D
11,G:maj,D
11,G:maj,E
11,G:maj,E
11,G:maj,C
11,G:maj,D
12,F:maj,F
12,F:maj,E
12,F:maj,D
12,F:maj,C
12,F:maj,D
13,F:maj,D
13,F:maj,C
13,F:maj,C
13,F:maj,C
13,F:maj,D
14,C:maj,F
14,C:maj,E
14,C:maj,D
14,C:maj,C
14,C:maj,D
15,G:maj,D
15,G:maj,E
15,G:maj,E
15,G:maj,C
15,G:maj,D
16,F:maj,F
16,F:maj,E
16,F:maj,D
16,F:maj,C
16,F:maj,D
17,F:maj,D
17,F:maj,C
17,F:maj,C
18,F:maj,G
18,F:maj,G
18,F:maj,F
18,F:maj,E
18,F:maj,D
18,F:maj,C
19,C:maj,D
19,C:maj,C
19,C:maj,C
20,G:maj,G
20,G:maj,G
20,G:maj,F
20,G:maj,E
20,G:maj,D
20,G:maj,C
21,A:min,D
21,A:min,C
21,A:min,C
22,F:maj,G
22,F:maj,G
22,F:maj,F
22,F:maj,E
22,F:maj,D
22,F:maj,C
23,C:maj,D
23,C:maj,C
23,C:maj,C
24,G:maj,G
24,G:maj,G
24,G:maj,F
24,G:maj,E
24,G:maj,D
24,G:maj,C
25,A:min,D
25,A:min,C
25,A:min,C
26,F:maj,C
27,A:min,A
27,A:min,B
27,A:min,C
27,A:min,D
28,G:maj,D
28,G:maj,C
28,G:maj,B
28,G:maj,B
28,G:maj,C
28,G:maj,A
29,F:maj,A
30,F:maj,A
31,A:min,A
31,A:min,B
31,A:min,C
31,A:min,D
32,G:maj,D
32,G:maj,C
32,G:maj,B
32,G:maj,B
32,G:maj,C
32,G:maj,A
33,F:maj,A
34,F:maj,G
34,F:maj,G
34,F:maj,F
34,F:maj,E
34,F:maj,D
34,F:maj,C
