measure,chord,note
1,G:maj,D
1,G:maj,G
1,G:maj,B
1,G:maj,A
1,G:maj,G
1,G:maj,A
2,G:maj,G
2,G:maj,D
3,C:maj,E
3,C:maj,A
3,C:maj,F#
3,C:maj,E
3,C:maj,G
3,C:maj,E
4,G:maj,D
5,D:maj,D
5,D:maj,A
5,D:maj,G
5,D:maj,F#
5,D:maj,G
5,D:maj,A
6,G:maj,B
6,G:maj,G
7,D:maj,A
7,D:maj,D
7,D:maj,B
7,D:maj,A
7,D:maj,G
7,D:maj,F#
8,G:maj,G
9,G:maj,G
9,G:maj,F#
10,C:maj,E
10,C:maj,G
10,C:maj,E
11,G:maj,D
11,G:maj,G
11,G:maj,A
12,E:min,B
12,E:min,D
12,E:min,G
12,E:min,B
13,D:maj,A
14,D:maj,B
14,D:maj,A
15,G:maj,G
15,G:maj,G
15,G:maj,F#
16,C:maj,E
16,C:maj,G
17,C#:min,G
17,C#:min,A
18,G:maj,B
18,G:maj,G
19,D:maj,B
19,D:maj,A
20,G:maj,G
