measure,chord,note
1,E:maj,B
1,E:maj,B
1,E:maj,B
1,E:maj,B
1,E:maj,B
1,E:maj,B
1,E:maj,B
1,E:maj,E
1,E:maj,F#
1,E:maj,F#
1,E:maj,G#
2,E:maj,B
2,E:maj,B
2,E:maj,B
2,E:maj,B
2,E:maj,B
2,E:maj,A
2,E:maj,A
2,E:maj,G#
2,E:maj,F#
2,E:maj,F#
2,E:maj,E
3,A:maj,E
3,A:maj,E
3,A:maj,E
3,A:maj,D#
3,A:maj,D#
3,A:maj,D#
3,A:maj,C#
3,A:maj,B
4,A:maj,B
4,A:maj,B
5,E:maj,B
5,E:maj,B
5,E:maj,B
5,E:maj,B
5,E:maj,B
5,E:maj,B
5,E:maj,E
5,E:maj,F#
5,E:maj,F#
5,E:maj,G#
6,C#:min,B
6,C#:min,B
6,C#:min,B
6,C#:min,B
6,C#:min,B
6,C#:min,A
6,C#:min,G#
6,C#:min,F#
6,C#:min,F#
6,C#:min,E
7,A:maj,C#
7,A:maj,E
7,A:maj,F#
7,A:maj,G#
7,A:maj,F#
8,A:maj,F#
8,A:maj,G#
8,A:maj,A
9,E:maj,B
9,E:maj,B
9,E:maj,B
9,E:maj,B
9,E:maj,E
9,E:maj,B
9,E:maj,B
9,E:maj,A
9,E:maj,A
9,E:maj,G#
9,E:maj,A
9,A:maj,A
9,A:maj,F#
9,A:maj,G#
10,B:maj,G#
10,B:maj,A
10,B:maj,A
10,B:maj,A
10,B:maj,A
10,B:maj,A
10,B:maj,A
10,B:maj,A
10,B:maj,G#
10,B:maj,G#
10,B:maj,F#
10,B:maj,G#
11,E:maj,G#
11,E:maj,G#
11,E:maj,A
12,E:maj,B
12,E:maj,B
12,E:maj,B
12,E:maj,B
12,E:maj,B
12,E:maj,B
12,E:maj,A
12,E:maj,A
12,E:maj,G#
12,E:maj,C#
13,A:maj,C#
13,A:maj,B
13,A:maj,A
13,A:maj,A
13,A:maj,G#
14,A:maj,A
14,A:maj,F#
14,A:maj,G#
15,B:maj,A
15,B:maj,A
15,B:maj,G#
15,B:maj,G#
15,B:maj,F#
15,B:maj,E
16,E:maj,E
16,E:maj,E
16,E:maj,E
