measure,chord,note
1,D:maj,F#
1,D:maj,F#
1,D:maj,G
1,D:maj,F#
1,D:maj,E
1,D:maj,D
2,G:maj,B
2,G:maj,A
3,D:maj,A
3,D:maj,F#
4,D:maj,A
4,D:maj,A
4,D:maj,B
4,D:maj,G
4,D:maj,F#
5,A:maj,E
5,A:maj,G
6,D:maj,F#
6,D:maj,F#
6,D:maj,G
6,D:maj,F#
6,D:maj,E
6,D:maj,D
7,G:maj,B
7,G:maj,A
8,D:maj,A
8,D:maj,F#
9,E:min,A
9,E:min,A
10,A:maj,B
10,A:maj,A
10,A:maj,G
10,A:maj,E
11,D:maj,D
11,D:maj,D
11,D:maj,D
12,G:maj,D
12,G:maj,D
12,G:maj,D
12,G:maj,D
12,G:maj,C#
12,G:maj,B
13,D:maj,B
13,D:maj,A
13,D:maj,A
13,D:maj,A
13,D:maj,B
13,D:maj,A
14,A:maj,A
14,A:maj,G
14,A:maj,G
14,A:maj,G
14,A:maj,A
14,A:maj,G
15,D:maj,G
15,D:maj,F#
15,D:maj,D
16,G:maj,D
16,G:maj,D
16,G:maj,D
16,G:maj,D
16,G:maj,C#
16,G:maj,B
17,D:maj,B
17,D:maj,A
17,D:maj,A
17,D:maj,A
18,A:maj,C#
18,A:maj,B
18,A:maj,C#
18,A:maj,A
19,D:maj,D
